Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55244 connected to 10.0.0.2 port 5566
[ 24]  96.00-97.00  sec  1.62 MBytes  13.5 Mbits/sec    0   97.6 KBytes       
[ 24]  97.00-98.00  sec  1.55 MBytes  13.1 Mbits/sec    0   93.3 KBytes       
[ 24]  98.00-99.00  sec  1.55 MBytes  13.0 Mbits/sec    0   99.0 KBytes       
[ 24]  99.00-100.00 sec  1.74 MBytes  14.6 Mbits/sec    0    106 KBytes       
[ 24] 100.00-101.00 sec  1.49 MBytes  12.5 Mbits/sec    0    102 KBytes       
[ 24] 101.00-102.00 sec  1.49 MBytes  12.5 Mbits/sec    0   97.6 KBytes       
[ 24] 102.00-103.00 sec  1018 KBytes  8.34 Mbits/sec    0   94.7 KBytes       
[ 24] 103.00-104.00 sec  1.93 MBytes  16.2 Mbits/sec    0   99.0 KBytes       
[ 24] 104.00-105.00 sec  1.18 MBytes  9.89 Mbits/sec    0   96.2 KBytes       
[ 24] 105.00-106.00 sec  1.74 MBytes  14.6 Mbits/sec    0   97.6 KBytes       
[ 24] 106.00-107.01 sec  1.37 MBytes  11.3 Mbits/sec    0   93.3 KBytes       
[ 24] 107.01-108.00 sec  1.30 MBytes  11.1 Mbits/sec    0   91.9 KBytes       
[ 24] 108.00-109.00 sec  1.62 MBytes  13.6 Mbits/sec    0   94.7 KBytes       
[ 24] 109.00-110.00 sec  1.74 MBytes  14.6 Mbits/sec    0   99.0 KBytes       
[ 24] 110.00-111.00 sec  1.30 MBytes  11.0 Mbits/sec    0   97.6 KBytes       
[ 24] 111.00-112.00 sec  1.62 MBytes  13.6 Mbits/sec    0   99.0 KBytes       
[ 24] 112.00-113.00 sec  1.68 MBytes  14.1 Mbits/sec    0    102 KBytes       
[ 24] 113.00-114.00 sec  1.49 MBytes  12.5 Mbits/sec    0    103 KBytes       
[ 24] 114.00-115.00 sec  1.55 MBytes  13.0 Mbits/sec    0    105 KBytes       
[ 24] 115.00-116.00 sec  1.68 MBytes  14.1 Mbits/sec    0   97.6 KBytes       
[ 24] 116.00-117.00 sec  1.49 MBytes  12.5 Mbits/sec    0   96.2 KBytes       
[ 24] 117.00-118.00 sec  1.37 MBytes  11.5 Mbits/sec    0   96.2 KBytes       
[ 24] 118.00-119.00 sec  1.55 MBytes  13.0 Mbits/sec    0    100 KBytes       
[ 24] 119.00-120.00 sec  1.68 MBytes  14.1 Mbits/sec    0   97.6 KBytes       
[ 24] 120.00-121.00 sec  1.43 MBytes  12.0 Mbits/sec    0   94.7 KBytes       
[ 24] 121.00-122.01 sec  1.30 MBytes  10.9 Mbits/sec    0   96.2 KBytes       
[ 24] 122.01-123.00 sec  1.49 MBytes  12.6 Mbits/sec    0   96.2 KBytes       
[ 24] 123.00-124.00 sec  1.55 MBytes  13.0 Mbits/sec    0   97.6 KBytes       
[ 24] 124.00-125.00 sec  1.18 MBytes  9.91 Mbits/sec    0   93.3 KBytes       
[ 24] 125.00-126.00 sec  1.49 MBytes  12.5 Mbits/sec    0   97.6 KBytes       
[ 24] 126.00-127.00 sec  1.62 MBytes  13.6 Mbits/sec    0   97.6 KBytes       
[ 24] 127.00-128.00 sec  1.50 MBytes  12.6 Mbits/sec    0   99.0 KBytes       
[ 24] 128.00-129.00 sec  1.55 MBytes  13.0 Mbits/sec    0    100 KBytes       
[ 24] 129.00-130.00 sec  1.24 MBytes  10.4 Mbits/sec    0    103 KBytes       
[ 24] 130.00-131.04 sec  1.49 MBytes  12.1 Mbits/sec    0    100 KBytes       
[ 24] 131.04-132.00 sec  1.24 MBytes  10.8 Mbits/sec    0   97.6 KBytes       
[ 24] 132.00-133.00 sec  1.62 MBytes  13.6 Mbits/sec    0   94.7 KBytes       
[ 24] 133.00-134.00 sec  1.55 MBytes  13.0 Mbits/sec    0   93.3 KBytes       
[ 24] 134.00-135.00 sec  1.55 MBytes  13.0 Mbits/sec    0   97.6 KBytes       
[ 24] 135.00-136.00 sec  1.74 MBytes  14.6 Mbits/sec    0   94.7 KBytes       
[ 24] 136.00-137.00 sec  1.62 MBytes  13.5 Mbits/sec    0   99.0 KBytes       
[ 24] 137.00-138.00 sec  1.55 MBytes  13.0 Mbits/sec    0   96.2 KBytes       
[ 24] 138.00-139.00 sec  1.37 MBytes  11.5 Mbits/sec    0   93.3 KBytes       
[ 24] 139.00-140.00 sec  1.30 MBytes  10.9 Mbits/sec    0   94.7 KBytes       
[ 24] 140.00-141.00 sec  1.43 MBytes  12.0 Mbits/sec    0   93.3 KBytes       
[ 24] 141.00-142.00 sec  1.24 MBytes  10.4 Mbits/sec    0   87.7 KBytes       
[ 24] 142.00-143.03 sec  1.18 MBytes  9.65 Mbits/sec    0   86.3 KBytes       
[ 24] 143.03-144.00 sec  1.30 MBytes  11.2 Mbits/sec    0   84.8 KBytes       
[ 24] 144.00-145.00 sec  1.49 MBytes  12.5 Mbits/sec    0   84.8 KBytes       
[ 24] 145.00-146.00 sec  1.43 MBytes  12.0 Mbits/sec    0   86.3 KBytes       
[ 24] 146.00-147.00 sec  1.12 MBytes  9.38 Mbits/sec    0   86.3 KBytes       
[ 24] 147.00-148.03 sec  1.43 MBytes  11.7 Mbits/sec    0   90.5 KBytes       
[ 24] 148.03-149.00 sec  1.24 MBytes  10.7 Mbits/sec    0   87.7 KBytes       
[ 24] 149.00-150.00 sec  1.24 MBytes  10.4 Mbits/sec    0   89.1 KBytes       
[ 24] 150.00-151.00 sec  1018 KBytes  8.34 Mbits/sec    0   83.4 KBytes       
[ 24] 151.00-152.00 sec  1.43 MBytes  12.0 Mbits/sec    0   80.6 KBytes       
[ 24] 152.00-153.00 sec  1.06 MBytes  8.86 Mbits/sec    0   80.6 KBytes       
[ 24] 153.00-154.00 sec  1.37 MBytes  11.5 Mbits/sec    0   79.2 KBytes       
[ 24] 154.00-155.00 sec  1.06 MBytes  8.87 Mbits/sec    0   76.4 KBytes       
[ 24] 155.00-156.00 sec  1.12 MBytes  9.38 Mbits/sec    0   73.5 KBytes       
[ 24] 156.00-157.00 sec  1.06 MBytes  8.84 Mbits/sec    0   80.6 KBytes       
[ 24] 157.00-158.00 sec   954 KBytes  7.84 Mbits/sec    0   77.8 KBytes       
[ 24] 158.00-159.00 sec  1.30 MBytes  11.0 Mbits/sec    0   77.8 KBytes       
[ 24] 159.00-160.04 sec  1.37 MBytes  11.1 Mbits/sec    0   82.0 KBytes       
[ 24] 160.04-161.00 sec  1.30 MBytes  11.4 Mbits/sec    0   83.4 KBytes       
[ 24] 161.00-162.00 sec  1.49 MBytes  12.5 Mbits/sec    0   89.1 KBytes       
[ 24] 162.00-163.00 sec  1.12 MBytes  9.36 Mbits/sec    0   89.1 KBytes       
[ 24] 163.00-164.00 sec  1.43 MBytes  12.0 Mbits/sec    0   90.5 KBytes       
[ 24] 164.00-165.00 sec  1.24 MBytes  10.4 Mbits/sec    0   84.8 KBytes       
[ 24] 165.00-166.00 sec  1.12 MBytes  9.38 Mbits/sec    0   84.8 KBytes       
[ 24] 166.00-167.00 sec  1.37 MBytes  11.5 Mbits/sec    0   89.1 KBytes       
[ 24] 167.00-168.00 sec  1.55 MBytes  13.0 Mbits/sec    0   91.9 KBytes       
[ 24] 168.00-169.00 sec  1.43 MBytes  12.0 Mbits/sec    0   93.3 KBytes       
[ 24] 169.00-170.00 sec  1.43 MBytes  12.0 Mbits/sec    0   91.9 KBytes       
[ 24] 170.00-171.00 sec  1.37 MBytes  11.5 Mbits/sec    0   84.8 KBytes       
[ 24] 171.00-172.00 sec  1.06 MBytes  8.85 Mbits/sec    0   83.4 KBytes       
[ 24] 172.00-173.00 sec  1.37 MBytes  11.5 Mbits/sec    0   84.8 KBytes       
[ 24] 173.00-174.00 sec  1.37 MBytes  11.5 Mbits/sec    0   91.9 KBytes       
[ 24] 174.00-175.00 sec  1.43 MBytes  12.0 Mbits/sec    0   87.7 KBytes       
[ 24] 175.00-176.00 sec  1.18 MBytes  9.93 Mbits/sec    0   79.2 KBytes       
[ 24] 176.00-177.00 sec  1.12 MBytes  9.38 Mbits/sec    0   74.9 KBytes       
[ 24] 177.00-178.00 sec  1.24 MBytes  10.4 Mbits/sec    0   76.4 KBytes       
[ 24] 178.00-179.01 sec  1.12 MBytes  9.34 Mbits/sec    0   77.8 KBytes       
[ 24] 179.01-180.00 sec  1.24 MBytes  10.5 Mbits/sec    0   76.4 KBytes       
[ 24] 180.00-181.00 sec  1.43 MBytes  12.0 Mbits/sec    0   77.8 KBytes       
[ 24] 181.00-182.00 sec  1018 KBytes  8.34 Mbits/sec    0   77.8 KBytes       
[ 24] 182.00-183.00 sec  1018 KBytes  8.32 Mbits/sec    0   76.4 KBytes       
[ 24] 183.00-184.00 sec  1.12 MBytes  9.40 Mbits/sec    0   80.6 KBytes       
[ 24] 184.00-185.00 sec  1.24 MBytes  10.4 Mbits/sec    0   72.1 KBytes       
[ 24] 185.00-186.00 sec  1.06 MBytes  8.87 Mbits/sec    0   74.9 KBytes       
[ 24] 186.00-187.00 sec  1.30 MBytes  10.9 Mbits/sec    0   80.6 KBytes       
[ 24] 187.00-188.03 sec  1.30 MBytes  10.6 Mbits/sec    0   83.4 KBytes       
[ 24] 188.03-189.00 sec  1.24 MBytes  10.8 Mbits/sec    0   77.8 KBytes       
[ 24] 189.00-190.00 sec  1.18 MBytes  9.91 Mbits/sec    0   79.2 KBytes       
[ 24] 190.00-191.00 sec  1.24 MBytes  10.4 Mbits/sec    0   74.9 KBytes       
[ 24] 191.00-192.00 sec  1.12 MBytes  9.38 Mbits/sec    0   77.8 KBytes       
[ 24] 192.00-193.00 sec  1.06 MBytes  8.85 Mbits/sec    0   76.4 KBytes       
[ 24] 193.00-194.01 sec  1.24 MBytes  10.4 Mbits/sec    0   73.5 KBytes       
[ 24] 194.01-195.00 sec  1.24 MBytes  10.5 Mbits/sec    0   77.8 KBytes       
[ 24] 195.00-196.00 sec  1.12 MBytes  9.39 Mbits/sec    0   74.9 KBytes       
[ 24] 196.00-197.02 sec  1.30 MBytes  10.7 Mbits/sec    0   76.4 KBytes       
[ 24] 197.02-198.00 sec  1.18 MBytes  10.1 Mbits/sec    0   74.9 KBytes       
[ 24] 198.00-199.00 sec  1.06 MBytes  8.86 Mbits/sec    0   76.4 KBytes       
[ 24] 199.00-200.00 sec  1.37 MBytes  11.5 Mbits/sec    0   79.2 KBytes       
[ 24] 200.00-201.00 sec  1.30 MBytes  10.9 Mbits/sec    0   82.0 KBytes       
[ 24] 201.00-202.00 sec  1.30 MBytes  11.0 Mbits/sec    0   83.4 KBytes       
[ 24] 202.00-203.01 sec  1.49 MBytes  12.4 Mbits/sec    0   87.7 KBytes       
[ 24] 203.01-204.00 sec  1.30 MBytes  11.0 Mbits/sec    0   86.3 KBytes       
[ 24] 204.00-205.00 sec  1.68 MBytes  14.1 Mbits/sec    0   93.3 KBytes       
[ 24] 205.00-206.00 sec  1.49 MBytes  12.5 Mbits/sec    0   91.9 KBytes       
[ 24] 206.00-207.00 sec  1.43 MBytes  12.0 Mbits/sec    0   94.7 KBytes       
[ 24] 207.00-208.00 sec  1.55 MBytes  13.0 Mbits/sec    0   93.3 KBytes       
[ 24] 208.00-209.00 sec  1.43 MBytes  12.0 Mbits/sec    0   93.3 KBytes       
[ 24] 209.00-210.00 sec  1.37 MBytes  11.5 Mbits/sec    0   87.7 KBytes       
[ 24] 210.00-211.00 sec  1.37 MBytes  11.5 Mbits/sec    0   91.9 KBytes       
[ 24] 211.00-212.00 sec  1.68 MBytes  14.1 Mbits/sec    0   90.5 KBytes       
[ 24] 212.00-213.00 sec  1.30 MBytes  10.9 Mbits/sec    0   91.9 KBytes       
[ 24] 213.00-214.00 sec  1.24 MBytes  10.4 Mbits/sec    0   86.3 KBytes       
[ 24] 214.00-215.00 sec  1.30 MBytes  10.9 Mbits/sec    0   84.8 KBytes       
[ 24] 215.00-216.00 sec  1.06 MBytes  8.87 Mbits/sec    0   84.8 KBytes       
[ 24] 216.00-217.00 sec  1.12 MBytes  9.38 Mbits/sec    0   84.8 KBytes       
[ 24] 217.00-218.00 sec  1.37 MBytes  11.5 Mbits/sec    0   91.9 KBytes       
[ 24] 218.00-219.00 sec  1.30 MBytes  10.9 Mbits/sec    0   89.1 KBytes       
[ 24] 219.00-220.02 sec  1.24 MBytes  10.3 Mbits/sec    0   90.5 KBytes       
[ 24] 220.02-221.00 sec  1.49 MBytes  12.7 Mbits/sec    0   93.3 KBytes       
[ 24] 221.00-222.00 sec  1.18 MBytes  9.90 Mbits/sec    0   87.7 KBytes       
[ 24] 222.00-223.00 sec  1.18 MBytes  9.90 Mbits/sec    0   82.0 KBytes       
[ 24] 223.00-224.00 sec  1.43 MBytes  12.0 Mbits/sec    0   84.8 KBytes       
[ 24] 224.00-225.01 sec  1.43 MBytes  11.8 Mbits/sec    0   89.1 KBytes       
[ 24] 225.01-226.00 sec  1.43 MBytes  12.2 Mbits/sec    0   87.7 KBytes       
[ 24] 226.00-227.00 sec  1.24 MBytes  10.4 Mbits/sec    0   86.3 KBytes       
[ 24] 227.00-228.00 sec  1.68 MBytes  14.1 Mbits/sec    0   97.6 KBytes       
[ 24] 228.00-229.01 sec  1.24 MBytes  10.3 Mbits/sec    0   91.9 KBytes       
[ 24] 229.01-230.00 sec  1.55 MBytes  13.1 Mbits/sec    0   94.7 KBytes       
[ 24] 230.00-231.00 sec  1.30 MBytes  10.9 Mbits/sec    0   93.3 KBytes       
[ 24] 231.00-232.00 sec  1.55 MBytes  13.0 Mbits/sec    0   96.2 KBytes       
[ 24] 232.00-233.00 sec  1.12 MBytes  9.36 Mbits/sec    0   94.7 KBytes       
[ 24] 233.00-234.00 sec  1.18 MBytes  9.93 Mbits/sec    0   87.7 KBytes       
[ 24] 234.00-235.00 sec  1.24 MBytes  10.4 Mbits/sec    0   84.8 KBytes       
[ 24] 235.00-236.00 sec  1.43 MBytes  12.0 Mbits/sec    0   84.8 KBytes       
[ 24] 236.00-237.00 sec  1.49 MBytes  12.5 Mbits/sec    0   87.7 KBytes       
[ 24] 237.00-238.00 sec  1.06 MBytes  8.87 Mbits/sec    0   86.3 KBytes       
[ 24] 238.00-239.00 sec  1.18 MBytes  9.90 Mbits/sec    0   83.4 KBytes       
[ 24] 239.00-240.00 sec  1.30 MBytes  10.9 Mbits/sec    0   87.7 KBytes       
[ 24] 240.00-241.00 sec  1.24 MBytes  10.4 Mbits/sec    0   83.4 KBytes       
[ 24] 241.00-242.00 sec  1.12 MBytes  9.38 Mbits/sec    0   77.8 KBytes       
[ 24] 242.00-243.00 sec  1.55 MBytes  13.0 Mbits/sec    0   77.8 KBytes       
[ 24] 243.00-244.00 sec  1.30 MBytes  10.9 Mbits/sec    0   84.8 KBytes       
[ 24] 244.00-245.01 sec  1.49 MBytes  12.5 Mbits/sec    0   89.1 KBytes       
[ 24] 245.01-246.00 sec  1.30 MBytes  11.0 Mbits/sec    0   89.1 KBytes       
[ 24] 246.00-247.00 sec  1.49 MBytes  12.5 Mbits/sec    0   91.9 KBytes       
[ 24] 247.00-248.00 sec  1.55 MBytes  13.1 Mbits/sec    0   94.7 KBytes       
[ 24] 248.00-249.00 sec  1.68 MBytes  14.1 Mbits/sec    0   97.6 KBytes       
[ 24] 249.00-250.00 sec  1.49 MBytes  12.5 Mbits/sec    0   91.9 KBytes       
[ 24] 250.00-251.00 sec  1.43 MBytes  12.0 Mbits/sec    0   96.2 KBytes       
[ 24] 251.00-252.00 sec  1.37 MBytes  11.5 Mbits/sec    0   96.2 KBytes       
[ 24] 252.00-253.00 sec  1.30 MBytes  11.0 Mbits/sec    0   97.6 KBytes       
[ 24] 253.00-254.00 sec  1.43 MBytes  12.0 Mbits/sec    0    100 KBytes       
[ 24] 254.00-255.00 sec  1.30 MBytes  10.9 Mbits/sec    0   94.7 KBytes       
[ 24] 255.00-256.00 sec  1.43 MBytes  12.0 Mbits/sec    0   91.9 KBytes       
[ 24] 256.00-257.00 sec  1.43 MBytes  12.0 Mbits/sec    0   94.7 KBytes       
[ 24] 257.00-258.00 sec  1.62 MBytes  13.6 Mbits/sec    0    100 KBytes       
[ 24] 258.00-259.00 sec  1.30 MBytes  10.9 Mbits/sec    0   94.7 KBytes       
[ 24] 259.00-260.00 sec  1.62 MBytes  13.6 Mbits/sec    0   90.5 KBytes       
[ 24] 260.00-261.00 sec  1.49 MBytes  12.5 Mbits/sec    0   97.6 KBytes       
[ 24] 261.00-262.06 sec  1.24 MBytes  9.83 Mbits/sec    0   93.3 KBytes       
[ 24] 262.06-263.00 sec  1.86 MBytes  16.6 Mbits/sec    0    100 KBytes       
[ 24] 263.00-264.08 sec  1.68 MBytes  13.0 Mbits/sec    0   97.6 KBytes       
[ 24] 264.08-265.00 sec  1.18 MBytes  10.8 Mbits/sec    0   90.5 KBytes       
[ 24] 265.00-266.01 sec  1.43 MBytes  11.9 Mbits/sec    0   90.5 KBytes       
[ 24] 266.01-267.00 sec  1.37 MBytes  11.6 Mbits/sec    0   94.7 KBytes       
[ 24] 267.00-268.05 sec  1.18 MBytes  9.48 Mbits/sec    0   94.7 KBytes       
[ 24] 268.05-269.00 sec  1.37 MBytes  12.0 Mbits/sec    0   91.9 KBytes       
[ 24] 269.00-270.00 sec  1.49 MBytes  12.5 Mbits/sec    0   93.3 KBytes       
[ 24] 270.00-271.00 sec  1.24 MBytes  10.4 Mbits/sec    0   96.2 KBytes       
[ 24] 271.00-272.00 sec  1.68 MBytes  14.1 Mbits/sec    0   96.2 KBytes       
[ 24] 272.00-273.04 sec  1.12 MBytes  9.07 Mbits/sec    0   94.7 KBytes       
[ 24] 273.04-274.04 sec  1.55 MBytes  12.9 Mbits/sec    0   94.7 KBytes       
[ 24] 274.04-275.00 sec  1.37 MBytes  12.0 Mbits/sec    0   94.7 KBytes       
[ 24] 275.00-276.00 sec  1.37 MBytes  11.5 Mbits/sec    0   91.9 KBytes       
[ 24] 276.00-277.00 sec  1.37 MBytes  11.5 Mbits/sec    0   96.2 KBytes       
[ 24] 277.00-278.00 sec  1.62 MBytes  13.6 Mbits/sec    0   97.6 KBytes       
